"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_001_login","TestYsyPro001Login","","","test_ysy_pro_002_myself[case0]","
            用例描述:我的--我的个人资料
        "
"passed","Wed Dec 02 09:18:49 CST 2020","Wed Dec 02 09:18:53 CST 2020","3382","TestCase_002_yhz_old_regitster","test_yhz_001_login","TestYhz001Login","","","test_login_002_log_in[case2]","
            用例描述：验证码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_005_hot_product[case0]","
            用例描述：首页--热门商品
        "
"passed","Wed Dec 02 09:13:22 CST 2020","Wed Dec 02 09:13:25 CST 2020","3625","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_002_log_in[case3]","
            用例描述：验证码登录
        "
"passed","Wed Dec 02 09:17:07 CST 2020","Wed Dec 02 09:17:10 CST 2020","2574","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_003_fee_history[case1]",""
"passed","Wed Dec 02 09:13:33 CST 2020","Wed Dec 02 09:13:35 CST 2020","2360","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_004_get_Member_Order[case1]","
            用例描述：获取成员拖动顺序
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:18:04 CST 2020","Wed Dec 02 09:18:06 CST 2020","2616","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_002_get_Face_List[case1]","
            用例描述：首页-智慧门禁--人像管理--人像列表
        "
"passed","Wed Dec 02 09:14:44 CST 2020","Wed Dec 02 09:14:50 CST 2020","5317","TestCase_001_ysy","test_ysy_002_invitation","TestYsy002Invitation","","","test_invitation_005_share_invitation[case1]","
            用例描述：获取验证码，该用例数据源来自excel
        "
"passed","Wed Dec 02 09:19:48 CST 2020","Wed Dec 02 09:19:51 CST 2020","3271","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_001_receive_setting[case2]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_002_topic[case0]","
            用例描述：首页--话题专栏
        "
"passed","Wed Dec 02 09:21:18 CST 2020","Wed Dec 02 09:21:21 CST 2020","2504","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case1]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:20:19 CST 2020","Wed Dec 02 09:20:23 CST 2020","3489","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_003_sign_find_employees_sign[case2]","
            用例描述:根据员工Id获取当天最近一次签到记录
        "
"passed","Wed Dec 02 09:20:01 CST 2020","Wed Dec 02 09:20:03 CST 2020","2713","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_002_receive_setting_info[case2]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_006_mall","TestYsy006Mall","","","test_mall_001_mall_index[case0]","
            用例描述：首页--访问状态
        "
"passed","Tue Dec 01 14:28:01 CST 2020","Tue Dec 01 14:28:03 CST 2020","2296","TestCase_001_ysy","test_ysy_011_personal _home","TestYsy011PersonalHome","","","test_personal_home_001_getBack_Ground[case1]",""
"passed","Wed Dec 02 09:13:15 CST 2020","Wed Dec 02 09:13:18 CST 2020","3281","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_002_log_in[case1]","
            用例描述：验证码登录
        "
"passed","Wed Dec 02 09:22:31 CST 2020","Wed Dec 02 09:22:34 CST 2020","2675","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_012_public_AreaRepair_publish[case2]","
            用例描述：物业app密码登录
        "
